drive_mean,drive_std,resistance_mean,resistance_std,energy_mean,energy_std,gate_mean,gate_std,ambiguity_mean,ambiguity_std,ambiguity_weight_mean,ambiguity_weight_std,sample_uncertainty_mean,sample_uncertainty_std,gate_activation_rate
-0.00013052627036813647,0.024607978761196136,-0.00018079062283504754,0.013699730858206749,-0.14387062191963196,0.08277793973684311,0.46416595578193665,0.02046920172870159,-0.11331900209188461,0.26131534576416016,0.4399999976158142,0.0,0.6941507458686829,7.026772073004395e-05,0.46416595578193665
-0.00024831490009091794,0.024653472006320953,-0.0001237759570358321,0.013897128403186798,-0.1439984291791916,0.08271636068820953,0.46413394808769226,0.020453516393899918,-0.08398889005184174,0.2636345624923706,0.4599999785423279,2.9802322387695312e-08,0.694127082824707,5.250404137768783e-05,0.46413394808769226
-0.0002666109357960522,0.0249848123639822,-7.885583181632683e-05,0.014907851815223694,-0.14407677948474884,0.08271615952253342,0.4641139805316925,0.020451823249459267,0.0498848482966423,0.3109219968318939,0.47999995946884155,2.9802322387695312e-08,0.694140613079071,9.812903590500355e-05,0.4641139805316925
-0.00042989186476916075,0.024952532723546028,-1.2936418897879776e-05,0.014799701981246471,-0.14421524107456207,0.08264127373695374,0.46407946944236755,0.020433275029063225,0.029402345418930054,0.30046746134757996,0.5,0.0,0.6942253112792969,9.585406223777682e-05,0.46407946944236755
-0.00044081921805627644,0.025545340031385422,3.194781675119884e-05,0.016258051618933678,-0.1442955881357193,0.0826384574174881,0.4640588164329529,0.020430197939276695,0.21294145286083221,0.3068217635154724,0.5199999809265137,0.0,0.6939290761947632,9.56751246121712e-05,0.4640588164329529
-0.00046371802454814315,0.025778790935873985,7.964570249896497e-05,0.01691499538719654,-0.14437386393547058,0.0826256200671196,0.4640389382839203,0.020425861701369286,0.28568750619888306,0.2877066433429718,0.5400000214576721,0.0,0.6939082741737366,8.271788829006255e-05,0.4640389382839203
-0.0005085747106932104,0.02601381577551365,0.00011677894508466125,0.017433634027838707,-0.14444591104984283,0.08262133598327637,0.4640207886695862,0.020423755049705505,0.33406776189804077,0.2764040231704712,0.5600000023841858,0.0,0.6941447854042053,6.692867464153096e-05,0.4640207886695862
-0.0005352927837520838,0.0263479296118021,0.00014726050721947104,0.018476277589797974,-0.14451147615909576,0.08262677490711212,0.46400415897369385,0.02042275294661522,0.42964425683021545,0.33455297350883484,0.5799999833106995,0.0,0.6943475008010864,7.74034924688749e-05,0.46400415897369385
-0.0006995922885835171,0.026294784620404243,0.0001925573160406202,0.017923276871442795,-0.1446230262517929,0.08256081491708755,0.4639767110347748,0.02040703408420086,0.33418673276901245,0.401909202337265,0.6000000238418579,0.0,0.695003092288971,7.986283162608743e-05,0.4639767110347748
-0.0008062927518039942,0.026336250826716423,0.0002551170182414353,0.018277551978826523,-0.1447126716375351,0.0825413167476654,0.46395444869995117,0.02040068991482258,0.33059123158454895,0.502443790435791,0.6200000047683716,0.0,0.6954443454742432,4.831394107895903e-05,0.46395444869995117
-0.0009947950020432472,0.026359081268310547,0.00030181772308424115,0.017658215016126633,-0.1448194533586502,0.08248021453619003,0.46392822265625,0.020386161282658577,0.22689108550548553,0.5556855797767639,0.6399999856948853,0.0,0.6960548162460327,0.00011812966113211587,0.46392822265625
-0.0011286684311926365,0.026469623669981956,0.0003604763187468052,0.017586490139365196,-0.14491213858127594,0.0824500247836113,0.4639051854610443,0.02037831023335457,0.1866551637649536,0.5962064862251282,0.6600000262260437,0.0,0.6966608762741089,0.00011377990449545905,0.4639051854610443
-0.0012088327202945948,0.02681088261306286,0.0004139323136769235,0.018301596865057945,-0.14500299096107483,0.0824284628033638,0.46388235688209534,0.020371077582240105,0.22692552208900452,0.6440593600273132,0.6800000071525574,0.0,0.6969886422157288,0.0001064152893377468,0.46388235688209534
-0.0013217792147770524,0.0271032452583313,0.00046968774404376745,0.018300622701644897,-0.1450941115617752,0.08241067081689835,0.4638597369194031,0.020366376265883446,0.20512911677360535,0.6509425044059753,0.699999988079071,0.0,0.6971991062164307,0.0001038342306856066,0.4638597369194031
-0.001335148117505014,0.027433447539806366,0.0005142384325154126,0.019323447719216347,-0.14517636597156525,0.08241675049066544,0.46383899450302124,0.020365286618471146,0.2699066996574402,0.6970198750495911,0.7200000286102295,0.0,0.6975375413894653,7.924164674477652e-05,0.46383899450302124
-0.0014072920894250274,0.027735410258173943,0.0005558027769438922,0.019423605874180794,-0.145248681306839,0.08241192251443863,0.4638209044933319,0.02036367729306221,0.26049137115478516,0.695787787437439,0.7400000095367432,0.0,0.6976543664932251,0.0001305488549405709,0.4638209044933319
-0.0015698072966188192,0.027761779725551605,0.000583057408221066,0.01834106631577015,-0.1453050971031189,0.08237661421298981,0.4638071358203888,0.02035728096961975,0.1571519821882248,0.64970862865448,0.7599999904632568,0.0,0.6975286602973938,0.0001267394400201738,0.4638071358203888
-0.001642834977246821,0.027901116758584976,0.0006072802352719009,0.018082521855831146,-0.1453733593225479,0.08235568553209305,0.4637901484966278,0.020352454856038094,0.1208200678229332,0.6404012441635132,0.7799999713897705,0.0,0.6978985667228699,7.941386866150424e-05,0.4637901484966278
-0.0016635333886370063,0.028184829279780388,0.0006654954049736261,0.01946813054382801,-0.14546135067939758,0.08236384391784668,0.4637679159641266,0.020351193845272064,0.20928268134593964,0.6932773590087891,0.800000011920929,0.0,0.6985200047492981,0.00011756654566852376,0.4637679159641266
-0.0017132731154561043,0.028341637924313545,0.0006845421157777309,0.019228773191571236,-0.1455269753932953,0.0823458731174469,0.4637516438961029,0.02034706063568592,0.16744844615459442,0.6954731941223145,0.8199999928474426,0.0,0.6986963748931885,9.724337724037468e-05,0.4637516438961029
-0.0018364619463682175,0.028328297659754753,0.0007023444632068276,0.018491283059120178,-0.14556784927845,0.08232172578573227,0.46374157071113586,0.02034258469939232,0.09590218216180801,0.6716724038124084,0.8399999737739563,0.0,0.6983870267868042,9.822241554502398e-05,0.46374157071113586
-0.0019096615724265575,0.028415622189641,0.0007260407437570393,0.01828937605023384,-0.14561785757541656,0.08229777216911316,0.46372905373573303,0.020336950197815895,0.07089781016111374,0.6606674790382385,0.8600000143051147,0.0,0.6984835267066956,0.00010186340659856796,0.46372905373573303
