mse,rmse,mae,group0_mse,group1_mse,worst_group_mse,group_mse_gap
0.02710917964577675,0.1646486520767212,0.13404999673366547,0.025619586929678917,0.028569962829351425,0.028569962829351425,0.0029503758996725082
0.027604248374700546,0.16614526510238647,0.1366516649723053,0.027623912319540977,0.027584968134760857,0.027623912319540977,3.894418478012085e-05
0.024439798668026924,0.156332328915596,0.1298573613166809,0.023651475086808205,0.02521287277340889,0.02521287277340889,0.0015613976866006851
0.02532397210597992,0.15913507342338562,0.13149121403694153,0.024138569831848145,0.02648644708096981,0.02648644708096981,0.002347877249121666
0.024986829608678818,0.15807223320007324,0.13087941706180573,0.0241626538336277,0.025795061141252518,0.025795061141252518,0.001632407307624817
0.023572862148284912,0.15353456139564514,0.12788639962673187,0.022420383989810944,0.024703050032258034,0.024703050032258034,0.00228266604244709
0.023612234741449356,0.15366272628307343,0.12832170724868774,0.02224680595099926,0.024951253086328506,0.024951253086328506,0.0027044471353292465
0.024685539305210114,0.15711632370948792,0.1293850690126419,0.023656027391552925,0.025695141404867172,0.025695141404867172,0.002039114013314247
0.024721700698137283,0.15723136067390442,0.1314326524734497,0.024147940799593925,0.025284364819526672,0.025284364819526672,0.0011364240199327469
0.02374284714460373,0.1540871411561966,0.1281944066286087,0.022232726216316223,0.025223761796951294,0.025223761796951294,0.002991035580635071
0.02294648438692093,0.15148097276687622,0.12665630877017975,0.022615857422351837,0.02327071689069271,0.02327071689069271,0.0006548594683408737
0.022704102098941803,0.15067879855632782,0.1260741949081421,0.02213268168270588,0.02326447144150734,0.02326447144150734,0.0011317897588014603
0.023800762370228767,0.15427495539188385,0.12947914004325867,0.023641882464289665,0.023956570774316788,0.023956570774316788,0.0003146883100271225
0.023198280483484268,0.1523098200559616,0.12630727887153625,0.022379035130143166,0.024001676589250565,0.024001676589250565,0.001622641459107399
0.022430874407291412,0.14976941049098969,0.1262403130531311,0.021419698372483253,0.023422494530677795,0.023422494530677795,0.002002796158194542
0.022219287231564522,0.14906135201454163,0.1248021200299263,0.02140023745596409,0.023022493347525597,0.023022493347525597,0.0016222558915615082
0.02364620938897133,0.153773233294487,0.12779997289180756,0.022232986986637115,0.02503209374845028,0.02503209374845028,0.0027991067618131638
0.021966606378555298,0.14821135997772217,0.12421011924743652,0.021213464438915253,0.022705186158418655,0.022705186158418655,0.0014917217195034027
0.021841183304786682,0.14778763055801392,0.12424212694168091,0.021211473271250725,0.022458717226982117,0.022458717226982117,0.001247243955731392
0.020959870889782906,0.14477524161338806,0.12259237468242645,0.0203909520059824,0.021517785266041756,0.021517785266041756,0.0011268332600593567
0.021173015236854553,0.1455094963312149,0.12239295989274979,0.020888566970825195,0.021451961249113083,0.021451961249113083,0.0005633942782878876
0.022824352607131004,0.1510773003101349,0.1252671778202057,0.022066179662942886,0.023567864671349525,0.023567864671349525,0.001501685008406639
0.02176653780043125,0.14753487706184387,0.12404660880565643,0.020296916365623474,0.023207733407616615,0.023207733407616615,0.002910817041993141
0.021394992247223854,0.1462702751159668,0.12252738326787949,0.02032933570444584,0.02244003489613533,0.02244003489613533,0.0021106991916894913
0.02118019387125969,0.14553417265415192,0.12299666553735733,0.02086448483169079,0.021489795297384262,0.021489795297384262,0.0006253104656934738
0.02057911828160286,0.14345423877239227,0.12133936583995819,0.019587170332670212,0.02155187912285328,0.02155187912285328,0.0019647087901830673
0.02291228249669075,0.15136803686618805,0.1276634931564331,0.022789960727095604,0.02303224243223667,0.02303224243223667,0.0002422817051410675
0.020763671025633812,0.14409604668617249,0.12140011787414551,0.019992535933852196,0.021519891917705536,0.021519891917705536,0.0015273559838533401
0.02087065950036049,0.1444668173789978,0.1215885728597641,0.020351551473140717,0.021379729732871056,0.021379729732871056,0.001028178259730339
0.020362235605716705,0.1426963061094284,0.12151949852705002,0.01935274712741375,0.021352196112275124,0.021352196112275124,0.001999448984861374
0.021403182297945023,0.14629825949668884,0.1229788139462471,0.021284855902194977,0.021519221365451813,0.021519221365451813,0.00023436546325683594
