mse,rmse,mae,group0_mse,group1_mse,worst_group_mse,group_mse_gap
0.040608782321214676,0.20151621103286743,0.12227889150381088,0.04265327379107475,0.03860383853316307,0.04265327379107475,0.004049435257911682
0.03955640643835068,0.1988879293203354,0.12195612490177155,0.04088302701711655,0.038255445659160614,0.04088302701711655,0.0026275813579559326
0.04037473350763321,0.20093464851379395,0.12435777485370636,0.041891030967235565,0.03888776898384094,0.041891030967235565,0.003003261983394623
0.03927142545580864,0.19817019999027252,0.12283502519130707,0.04098755493760109,0.037588492035865784,0.04098755493760109,0.003399062901735306
0.03786580264568329,0.19459137320518494,0.11948028206825256,0.039045825600624084,0.03670860826969147,0.039045825600624084,0.002337217330932617
0.03862297534942627,0.19652728736400604,0.12479912489652634,0.04115559533238411,0.0361393503844738,0.04115559533238411,0.005016244947910309
0.03744090348482132,0.19349652528762817,0.12269476056098938,0.03902074322104454,0.03589162603020668,0.03902074322104454,0.00312911719083786
0.03605068102478981,0.18987016379833221,0.11757855117321014,0.03735789656639099,0.03476875275373459,0.03735789656639099,0.0025891438126564026
0.03515812009572983,0.18750499188899994,0.1173686534166336,0.036651793867349625,0.0336933396756649,0.036651793867349625,0.002958454191684723
0.03453655540943146,0.18584012985229492,0.11632750183343887,0.03623319789767265,0.03287272900342941,0.03623319789767265,0.0033604688942432404
0.032233141362667084,0.179535910487175,0.11046741902828217,0.033656902611255646,0.0308369193226099,0.033656902611255646,0.0028199832886457443
0.032792218029499054,0.1810862123966217,0.11216972768306732,0.03433385491371155,0.03128040209412575,0.03433385491371155,0.0030534528195858
0.03101612627506256,0.17611396312713623,0.10914072394371033,0.03219698742032051,0.02985810488462448,0.03219698742032051,0.0023388825356960297
0.031068842858076096,0.17626355588436127,0.1101408526301384,0.03173632174730301,0.030414272099733353,0.03173632174730301,0.0013220496475696564
0.03095380961894989,0.17593695223331451,0.11003615707159042,0.032159239053726196,0.029771702364087105,0.032159239053726196,0.0023875366896390915
0.031981199979782104,0.17883288860321045,0.11319442093372345,0.03259553760290146,0.031378746032714844,0.03259553760290146,0.001216791570186615
0.031130876392126083,0.17643943428993225,0.11368396878242493,0.03219526261091232,0.030087081715464592,0.03219526261091232,0.002108180895447731
0.0308377705514431,0.1756068617105484,0.11190395057201385,0.03135152533650398,0.030333956703543663,0.03135152533650398,0.0010175686329603195
0.029765736311674118,0.1725274920463562,0.10774210095405579,0.030513310804963112,0.029032623395323753,0.030513310804963112,0.0014806874096393585
0.028646299615502357,0.1692521721124649,0.10677049309015274,0.029308587312698364,0.027996817603707314,0.029308587312698364,0.0013117697089910507
0.028163433074951172,0.16781964898109436,0.10671107470989227,0.02888752892613411,0.027453340590000153,0.02888752892613411,0.001434188336133957
0.027471553534269333,0.16574545204639435,0.10421706736087799,0.028632789850234985,0.026332778856158257,0.028632789850234985,0.002300010994076729
0.02949902042746544,0.17175279557704926,0.11181074380874634,0.030947916209697723,0.028078150004148483,0.030947916209697723,0.00286976620554924
0.0268864668905735,0.1639709323644638,0.1031372919678688,0.027546290308237076,0.026239406317472458,0.027546290308237076,0.001306883990764618
0.026737123727798462,0.1635148972272873,0.10365977883338928,0.027394691482186317,0.026092272251844406,0.027394691482186317,0.0013024192303419113
0.027210405096411705,0.1649557650089264,0.10610315948724747,0.027723241597414017,0.026707489043474197,0.027723241597414017,0.0010157525539398193
0.026439247652888298,0.162601500749588,0.1037827730178833,0.027229120954871178,0.02566464990377426,0.027229120954871178,0.0015644710510969162
0.026601627469062805,0.16310004889965057,0.10671113431453705,0.027097875252366066,0.02611497975885868,0.027097875252366066,0.0009828954935073853
0.026448659598827362,0.16263043880462646,0.10582616180181503,0.027014944702386856,0.025893328711390495,0.027014944702386856,0.0011216159909963608
0.025385208427906036,0.15932735800743103,0.10417982935905457,0.025687186047434807,0.025089075788855553,0.025687186047434807,0.0005981102585792542
0.028206396847963333,0.16794760525226593,0.11410409957170486,0.028690790757536888,0.02773137204349041,0.028690790757536888,0.0009594187140464783
0.02500094100832939,0.15811686217784882,0.10428106784820557,0.025242062285542488,0.02476448006927967,0.025242062285542488,0.0004775822162628174
0.023889360949397087,0.1545618325471878,0.10059186071157455,0.024256307631731033,0.02352951467037201,0.024256307631731033,0.000726792961359024
0.023034993559122086,0.15177284181118011,0.09693723917007446,0.0231183972209692,0.022953202947974205,0.0231183972209692,0.00016519427299499512
0.024118594825267792,0.15530163049697876,0.10137265920639038,0.025028511881828308,0.02322627604007721,0.025028511881828308,0.0018022358417510986
0.02304626628756523,0.151809960603714,0.09852106869220734,0.02372203767299652,0.022383568808436394,0.02372203767299652,0.0013384688645601273
0.022698046639561653,0.1506587117910385,0.09777139127254486,0.022853709757328033,0.02254539728164673,0.022853709757328033,0.00030831247568130493
0.021968726068735123,0.14821851253509521,0.09870614111423492,0.022012406960129738,0.021925896406173706,0.022012406960129738,8.65105539560318e-05
0.022187363356351852,0.14895422756671906,0.09858837723731995,0.02305019460618496,0.021341223269701004,0.02305019460618496,0.0017089713364839554
0.022530991584062576,0.15010327100753784,0.10045483708381653,0.022820651531219482,0.022246934473514557,0.022820651531219482,0.0005737170577049255
0.02173449844121933,0.14742624759674072,0.09888599067926407,0.022105636075139046,0.02137053944170475,0.022105636075139046,0.0007350966334342957
0.02004999667406082,0.14159801602363586,0.09354951977729797,0.020075904205441475,0.02002459391951561,0.020075904205441475,5.131028592586517e-05
0.020308546721935272,0.14250805974006653,0.09558171033859253,0.020572155714035034,0.020050033926963806,0.020572155714035034,0.000522121787071228
0.021322036162018776,0.14602066576480865,0.09887191653251648,0.021421262994408607,0.0212247297167778,0.021421262994408607,0.00019653327763080597
0.0202736034989357,0.14238540828227997,0.09525957703590393,0.02133348025381565,0.01923423260450363,0.02133348025381565,0.0020992476493120193
0.020292382687330246,0.14245133101940155,0.09703974425792694,0.02020426280796528,0.020378800109028816,0.020378800109028816,0.0001745373010635376
0.020462777465581894,0.14304816722869873,0.09745780378580093,0.021054210141301155,0.01988278515636921,0.021054210141301155,0.0011714249849319458
0.018300998955965042,0.13528119027614594,0.09010428190231323,0.018848875537514687,0.017763720825314522,0.018848875537514687,0.0010851547122001648
0.018898524343967438,0.13747189939022064,0.09268172085285187,0.019269663840532303,0.01853456348180771,0.019269663840532303,0.0007351003587245941
0.01787560060620308,0.1336996704339981,0.09083382785320282,0.01791437156498432,0.01783757656812668,0.01791437156498432,7.679499685764313e-05
0.019417794421315193,0.13934774696826935,0.09486304223537445,0.0196989718824625,0.01914205402135849,0.0196989718824625,0.0005569178611040115
0.017226971685886383,0.13125155866146088,0.08847165107727051,0.01745215803384781,0.017006143927574158,0.01745215803384781,0.0004460141062736511
0.01800401508808136,0.1341790407896042,0.09244337677955627,0.018225517123937607,0.017786800861358643,0.018225517123937607,0.00043871626257896423
0.01719769835472107,0.13113999366760254,0.08922333270311356,0.01777728646993637,0.01662932150065899,0.01777728646993637,0.001147964969277382
0.017163686454296112,0.1310102492570877,0.08973173797130585,0.017035769298672676,0.01728913001716137,0.01728913001716137,0.00025336071848869324
0.015549061819911003,0.12469587475061417,0.08396841585636139,0.01600930280983448,0.015097723342478275,0.01600930280983448,0.000911579467356205
0.015228607691824436,0.12340424209833145,0.08334885537624359,0.015476644970476627,0.014985370449721813,0.015476644970476627,0.0004912745207548141
0.015622404403984547,0.12498961389064789,0.08519323170185089,0.015703950077295303,0.015542436391115189,0.015703950077295303,0.00016151368618011475
0.015590040944516659,0.12486008554697037,0.0852040946483612,0.01604287140071392,0.015145971439778805,0.01604287140071392,0.0008968999609351158
0.01522993203252554,0.12340961396694183,0.0840071588754654,0.015863889828324318,0.014608236961066723,0.015863889828324318,0.001255652867257595
0.014118394814431667,0.11882085353136063,0.07943614572286606,0.014263398014008999,0.013976197689771652,0.014263398014008999,0.00028720032423734665
0.014085432514548302,0.11868206411600113,0.08074957132339478,0.014183040708303452,0.013989713042974472,0.014183040708303452,0.0001933276653289795
0.014238657429814339,0.11932584643363953,0.08183849602937698,0.014520491473376751,0.0139622762799263,0.014520491473376751,0.0005582151934504509
0.014173761941492558,0.11905360966920853,0.08085840940475464,0.014361929148435593,0.013989235274493694,0.014361929148435593,0.00037269387394189835
