spline_edge_output_mean,spline_edge_output_std,spline_basis_mean,spline_basis_std,edge_output_mean,edge_output_std
0.006467318162322044,0.30249473452568054,0.02934727631509304,0.13666470348834991,0.006467318162322044,0.30249473452568054
0.0066497838124632835,0.30291980504989624,0.029343312606215477,0.1368117332458496,0.0066497838124632835,0.30291980504989624
0.006698323413729668,0.30303525924682617,0.02934456802904606,0.13692492246627808,0.006698323413729668,0.30303525924682617
0.006690884940326214,0.3030901253223419,0.02934277430176735,0.1366962492465973,0.006690884940326214,0.3030901253223419
0.006118610501289368,0.3034532964229584,0.029346918687224388,0.13679873943328857,0.006118610501289368,0.3034532964229584
0.006344689056277275,0.30383530259132385,0.029351230710744858,0.13678041100502014,0.006344689056277275,0.30383530259132385
0.006087934598326683,0.30397674441337585,0.029354477301239967,0.13671857118606567,0.006087934598326683,0.30397674441337585
0.00587758794426918,0.30422714352607727,0.02934895269572735,0.13681510090827942,0.00587758794426918,0.30422714352607727
0.00609654001891613,0.30409637093544006,0.02935648337006569,0.13667526841163635,0.00609654001891613,0.30409637093544006
0.006373465992510319,0.3046814501285553,0.029350480064749718,0.13674549758434296,0.006373465992510319,0.3046814501285553
0.006576748099178076,0.3051743507385254,0.029349707067012787,0.1367572396993637,0.006576748099178076,0.3051743507385254
0.006398707628250122,0.3054574728012085,0.029343022033572197,0.1367397904396057,0.006398707628250122,0.3054574728012085
0.0062482296489179134,0.3055628836154938,0.029347311705350876,0.13677608966827393,0.0062482296489179134,0.3055628836154938
0.005834813695400953,0.30553674697875977,0.0293504036962986,0.13673719763755798,0.005834813695400953,0.30553674697875977
0.0062828403897583485,0.30574047565460205,0.029345368966460228,0.13660278916358948,0.0062828403897583485,0.30574047565460205
0.006112442817538977,0.3058694005012512,0.029344307258725166,0.13663972914218903,0.006112442817538977,0.3058694005012512
0.006280500441789627,0.30603963136672974,0.02934376522898674,0.13662512600421906,0.006280500441789627,0.30603963136672974
0.00590202771127224,0.30636271834373474,0.02934395521879196,0.1366782933473587,0.00590202771127224,0.30636271834373474
0.00662729749456048,0.30656781792640686,0.029344115406274796,0.13670313358306885,0.00662729749456048,0.30656781792640686
0.00648017693310976,0.30655020475387573,0.029343226924538612,0.13668303191661835,0.00648017693310976,0.30655020475387573
0.005784317851066589,0.3061913847923279,0.02934669889509678,0.13654725253582,0.005784317851066589,0.3061913847923279
0.006471575237810612,0.3069421648979187,0.029349088668823242,0.13668140769004822,0.006471575237810612,0.3069421648979187
0.006532174535095692,0.3075981140136719,0.029346074908971786,0.1367335319519043,0.006532174535095692,0.3075981140136719
0.005634508095681667,0.3072929084300995,0.029348932206630707,0.1367173194885254,0.005634508095681667,0.3072929084300995
0.006201638374477625,0.3076736629009247,0.029348207637667656,0.1368015855550766,0.006201638374477625,0.3076736629009247
