step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb,corruption_resistance_corr,warmup_eta,responsibility_temperature,ambiguity_weight,null_threshold,attractor_entropy_weight,precision_update_threshold
11,4.259959697723389,4.259959697723389,0.27624309062957764,0.27624309062957764,70.80712970824317,6.14582273029238,0.001,1.4601266384124756,0.03639388084411621,0.6141927242279053,4973.363538097703,0.0,0.006131358910351992,0.055,nan,nan,nan,nan,nan
12,4.232790946960449,4.232790946960449,0.26274511218070984,0.26274511218070984,68.90928620575562,6.10662650829954,0.001,1.212012529373169,0.04942178726196289,0.6784558296203613,5159.667711901201,0.0,-0.06850311160087585,0.06,nan,nan,nan,nan,nan
13,4.242519855499268,4.242519855499268,0.2518518567085266,0.2518518567085266,69.58297013964822,6.1206623564017555,0.001,1.3041950464248657,0.0403439998626709,0.7305588722229004,3346.222498005496,0.0,-0.027291957288980484,0.065,nan,nan,nan,nan,nan
14,4.238367080688477,4.238367080688477,0.25630253553390503,0.25630253553390503,69.29460690220151,6.114671168776298,0.001,1.153765082359314,0.031242847442626953,0.772601842880249,7617.743563132431,0.0,0.01585729792714119,0.07,nan,nan,nan,nan,nan
15,4.2434983253479,4.2434983253479,0.25449103116989136,0.25449103116989136,69.65108829825564,6.122073990000037,0.001,0.9053763151168823,0.029764652252197266,0.8138508796691895,11221.364092212556,0.0,0.02598029561340809,0.075,nan,nan,nan,nan,nan
16,4.204538822174072,4.204538822174072,0.2957746386528015,0.2957746386528015,66.98969637882256,6.065867307975657,0.001,1.022085428237915,0.052763938903808594,0.8779468536376953,4036.847976575632,0.0,-0.08280976861715317,0.08,nan,nan,nan,nan,nan
17,4.228743076324463,4.228743076324463,0.25,0.25,68.63091411677874,6.100786665406842,0.001,0.9977244734764099,0.04065108299255371,0.9304988384246826,4821.519762115623,0.0,0.10247763991355896,0.085,nan,nan,nan,nan,nan
18,4.235727787017822,4.235727787017822,0.18840579688549042,0.18840579688549042,69.1119592212532,6.110863472886196,0.001,0.9127654433250427,0.03550410270690918,0.9772279262542725,3886.874740623846,0.0,-0.009328573010861874,0.09,nan,nan,nan,nan,nan
19,4.21771764755249,4.21771764755249,0.23474177718162537,0.23474177718162537,67.87838496303043,6.084880333993842,0.001,0.8929756879806519,0.031239032745361328,1.0190157890319824,6818.392929647551,0.0,0.020367136225104332,0.095,nan,nan,nan,nan,nan
20,4.203582286834717,4.203582286834717,0.22608695924282074,0.22608695924282074,66.92564900353584,6.064487319185134,0.001,0.9065696597099304,0.03332996368408203,1.0642497539520264,6900.697587913817,0.0,0.04337793588638306,0.1,nan,nan,nan,nan,nan
21,4.211760997772217,4.211760997772217,0.23783783614635468,0.23783783614635468,67.4752590281255,6.07628670489553,0.001,1.1228535175323486,0.030028104782104492,1.1049647331237793,6160.89497963429,0.0,0.02097160927951336,0.105,nan,nan,nan,nan,nan
22,4.179350852966309,4.179350852966309,0.3108808398246765,0.3108808398246765,65.32343493363133,6.029528749709553,0.001,0.9659846425056458,0.028011083602905273,1.1444737911224365,6890.12973350243,0.0,0.08666364848613739,0.11,nan,nan,nan,nan,nan
23,4.172104358673096,4.172104358673096,0.35199999809265137,0.35199999809265137,64.85178002143401,6.019074268328905,0.001,1.4302469491958618,0.043108224868774414,1.1993727684020996,2899.6786664380643,0.0,0.15592782199382782,0.115,nan,nan,nan,nan,nan
24,4.171525955200195,4.171525955200195,0.33636364340782166,0.33636364340782166,64.81428037265485,6.018239808506918,0.001,0.9307704567909241,0.0381929874420166,1.2494089603424072,5760.219734944723,0.0,0.045252878218889236,0.12,nan,nan,nan,nan,nan
