step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr
14,1.6224349737167358,0.1875,0.1875,1.0,0.001,0.37744465470314026,0.05091094970703125,0.7773902416229248,314.2742394725011,0.0,0.0952562615275383,0.062177546322345734
15,1.5877732038497925,0.3125,0.3125,1.0,0.001,0.4272144138813019,0.04925799369812012,0.8302803039550781,324.82037530916784,0.0,nan,nan
16,1.621840238571167,0.1875,0.1875,1.0,0.001,0.46905753016471863,0.05089998245239258,0.885277271270752,314.34195512670385,0.0,0.1506161242723465,-0.026998370885849
17,1.6174664497375488,0.1875,0.1875,1.0,0.001,0.3229331970214844,0.051629066467285156,0.9406201839447021,309.90294992334265,0.0,nan,nan
18,1.576459288597107,0.375,0.375,1.0,0.001,0.5779288411140442,0.051985740661621094,0.9970231056213379,307.7767056190494,0.0,-0.2677248418331146,-0.16104142367839813
19,1.5639270544052124,0.4375,0.4375,1.0,0.001,0.7936832904815674,0.05001974105834961,1.0514800548553467,319.8737070896767,0.0,nan,nan
20,1.6155599355697632,0.1875,0.1875,1.0,0.001,0.3651583790779114,0.05058097839355469,1.10597825050354,316.32444662317585,0.0,0.7541230916976929,-0.2546701729297638
21,1.5984461307525635,0.25,0.25,1.0,0.001,0.38486766815185547,0.053311824798583984,1.16351318359375,300.12103431929376,0.0,nan,nan
22,1.6025656461715698,0.25,0.25,1.0,0.001,0.21653571724891663,0.05277109146118164,1.220346212387085,303.19630610197976,0.0,1.4048948671074868e-08,-0.03603919968008995
23,1.60560941696167,0.25,0.25,1.0,0.001,0.2254692167043686,0.050614118576049805,1.275001049041748,316.1173295146756,0.0,nan,nan
24,1.6037667989730835,0.25,0.25,1.0,0.001,0.18494810163974762,0.05048203468322754,1.330273151397705,316.9444357859042,0.0,nan,nan
25,1.6340690851211548,0.125,0.125,1.0,0.001,0.735680878162384,0.048293113708496094,1.3828091621398926,331.3101759513419,0.0,nan,nan
26,1.5795783996582031,0.3125,0.3125,1.0,0.001,0.3384486436843872,0.0467987060546875,1.4347572326660156,341.8897945875448,0.0,-0.10817718505859375,-0.16974404454231262
27,1.6199285984039307,0.1875,0.1875,1.0,0.001,0.43234896659851074,0.04789996147155762,1.4868831634521484,334.0294962345762,0.0,-0.296328604221344,-0.21848028898239136
28,1.5988883972167969,0.25,0.25,1.0,0.001,0.33995717763900757,0.04783892631530762,1.538985013961792,334.4556668045512,0.0,nan,nan
29,1.637819766998291,0.125,0.125,1.0,0.001,0.6038606762886047,0.04627823829650879,1.5895049571990967,345.73485484660364,0.0,-0.06266004592180252,0.28916436433792114
30,1.6597096920013428,0.0625,0.0625,1.0,0.001,0.84974604845047,0.04684710502624512,1.6409151554107666,341.53657928352953,0.0,nan,nan
31,1.6149145364761353,0.1875,0.1875,1.0,0.001,0.3688289225101471,0.051911115646362305,1.697566270828247,308.2191511544061,0.0,nan,nan
32,1.6361829042434692,0.0625,0.0625,1.0,0.001,0.7379248142242432,0.05194902420043945,1.7547111511230469,307.9942356234797,0.0,nan,nan
33,1.6468425989151,0.0625,0.0625,1.0,0.001,0.6305568218231201,0.05396008491516113,1.8141181468963623,296.51547111454767,0.0,nan,nan
34,1.6151055097579956,0.0625,0.0625,1.0,0.001,0.6610507965087891,0.050633907318115234,1.8701841831207275,315.99378454989784,0.0,nan,nan
35,1.6317667961120605,0.0,0.0,1.0,0.001,0.8698340058326721,0.05325007438659668,1.9318101406097412,300.46906383340723,0.0,-0.02609267830848694,-0.09426683932542801
36,1.6128391027450562,0.1875,0.1875,1.0,0.001,0.12459346652030945,0.055674076080322266,1.993401050567627,287.38689757359305,0.0,nan,nan
37,1.624247670173645,0.0625,0.0625,1.0,0.001,0.5201932787895203,0.05582427978515625,2.0548243522644043,286.613639469728,0.0,0.058672282844781876,-0.057590052485466
38,1.6110944747924805,0.1875,0.1875,1.0,0.001,0.2737032473087311,0.05241799354553223,2.1128990650177,305.2386960615309,0.0,0.33743810653686523,-0.18327423930168152
39,1.6122478246688843,0.25,0.25,1.0,0.001,0.30871549248695374,0.055726051330566406,2.1738102436065674,287.11885407218523,0.0,0.14289970695972443,-0.02029508724808693
