step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb,corruption_resistance_corr,warmup_eta,responsibility_temperature,ambiguity_weight,null_threshold,attractor_entropy_weight,precision_update_threshold
11,4.336742401123047,4.336742401123047,0.06008583679795265,0.06008583679795265,76.45806351099947,6.256596755713115,0.001,0.3975584805011749,0.0037000179290771484,0.056118011474609375,62972.66782653522,0.0,nan,0.055,nan,nan,nan,nan,nan
12,4.377948760986328,4.377948760986328,0.014354066923260689,0.014354066923260689,79.67443436392011,6.316044966740957,0.001,0.33731159567832947,0.003108978271484375,0.06131291389465332,67224.65766871166,0.0,nan,0.06,nan,nan,nan,nan,nan
13,4.364964008331299,4.364964008331299,0.065476194024086,0.065476194024086,78.64656926957127,6.297311928478377,0.001,0.3639007806777954,0.00302886962890625,0.06620311737060547,55466.23677581864,0.0,nan,0.065,nan,nan,nan,nan,nan
14,4.320251941680908,4.320251941680908,0.061611372977495193,0.061611372977495193,75.20757382790502,6.232806051653962,0.001,0.33593907952308655,0.0028951168060302734,0.07091021537780762,72881.34266655687,0.0,nan,0.07,nan,nan,nan,nan,nan
15,4.319586277008057,4.319586277008057,0.05586592108011246,0.05586592108011246,75.15752746177388,6.231845700531544,0.001,0.38556063175201416,0.003245115280151367,0.07645320892333984,55159.82778634928,0.0,nan,0.075,nan,nan,nan,nan,nan
16,4.357835292816162,4.357835292816162,0.04848484694957733,0.04848484694957733,78.08791386457139,6.2870273659567815,0.001,0.39569202065467834,0.003170013427734375,0.08144712448120117,52050.252707581225,0.0,nan,0.08,nan,nan,nan,nan,nan
17,4.282266139984131,4.282266139984131,0.09756097197532654,0.09756097197532654,72.40433258852515,6.17800412392183,0.001,0.399716317653656,0.003120899200439453,0.08667707443237305,78823.43651642476,0.0,nan,0.085,nan,nan,nan,nan,nan
18,4.30954647064209,4.30954647064209,0.03550295904278755,0.03550295904278755,74.40673564782692,6.217361321675878,0.001,0.3801824152469635,0.0032808780670166016,0.0923299789428711,51510.60068308989,0.0,nan,0.09,nan,nan,nan,nan,nan
19,4.3032073974609375,4.3032073974609375,0.03164556995034218,0.03164556995034218,73.93655772597424,6.208215972233598,0.001,0.351394921541214,0.003403902053833008,0.1058511734008789,46417.31680324998,0.0,nan,0.095,nan,nan,nan,nan,nan
20,4.240927696228027,4.240927696228027,0.06842105090618134,0.06842105090618134,69.47227111724227,6.118365356116832,0.001,0.38395315408706665,0.0030548572540283203,0.11100506782531738,62196.03215484274,0.0,nan,0.1,nan,nan,nan,nan,nan
21,4.272442817687988,4.272442817687988,0.05649717524647713,0.05649717524647713,71.69656350726513,6.163832065560131,0.001,0.330226331949234,0.0029828548431396484,0.11594319343566895,59339.12620893613,0.0,nan,0.105,nan,nan,nan,nan,nan
22,4.254230976104736,4.254230976104736,0.07853402942419052,0.07853402942419052,70.40265504109246,6.137557932022517,0.001,0.3460542559623718,0.0028998851776123047,0.12084126472473145,65864.67680670887,0.0,nan,0.11,nan,nan,nan,nan,nan
23,4.269505977630615,4.269505977630615,0.04790419340133667,0.04790419340133667,71.48631105760859,6.159595100973474,0.001,0.3627898097038269,0.0033168792724609375,0.12647318840026855,50348.53133985049,0.0,nan,0.115,nan,nan,nan,nan,nan
24,4.284216403961182,4.284216403961182,0.03184713423252106,0.03184713423252106,72.54567793572352,6.180817760089945,0.001,0.33792561292648315,0.0029158592224121094,0.13129019737243652,53843.477350776775,0.0,nan,0.12,nan,nan,nan,nan,nan
25,4.230261325836182,4.230261325836182,0.06122449040412903,0.06122449040412903,68.73519210859965,6.102977036448231,0.001,0.389536052942276,0.0029082298278808594,0.1362311840057373,67394.9486801115,0.0,nan,0.125,nan,nan,nan,nan,nan
